打开QQ音乐 | QQ音乐
打开酷狗音乐 | 酷狗音乐
打开手机QQ | QQ
打开QQ空间发说说 | QQ空间
用手机QQ给小明发信息发你好 | QQ
又用手机QQ给订单发信息 | QQ
用手机QQ给丁楠发信息 | QQ
用手机QQ给订单发信息发在在在 | QQ
用手机QQ给丁楠发信息发在在在 | QQ
打开QQ | QQ
用手机QQ给订单发信息发你好 | QQ
用手机QQ给丁楠发信息 | QQ
打开QQ音乐 | QQ音乐
打开手机QQ给丁楠发信息 | QQ
用手机QQ给电脑发信息发你好 | QQ
打开QQ音乐 | QQ音乐
用手机QQ给丁楠发信息 | QQ
播放音乐 | 音乐
打开微信 | 微信
告诉我今天的天气如何 | 天气
打开QQ音乐 | QQ音乐
QQ | QQ
打开QQ | QQ
打开QQ空间 | QQ空间
开QQ动太 | QQ
打开音乐 | 音乐
播放天天有喜 | 乐视视频
打开工商工商银行客户端 | 中国工商银行
打开QQ | QQ
打开QQ | QQ
QQ用QQ和游戏说话 | QQ
你好请帮我打开游戏中心 | 游戏中心
支付宝付款 | 支付宝
微信扫一扫 | 微信
打开朋友圈 | 微信
我想看电视剧 | 乐视视频
打开QQ音乐 | QQ音乐
打开本地歌曲 | 音乐
微信 | 微信
打开QQ音乐本地歌曲 | 音乐
打开酷狗望月 | 酷狗音乐
打开QQ | QQ
打开QQ | QQ
微信朋友圈 | 微信
打开乐视视频 | 乐视视频
我要看新闻 | 乐视视频
帮我打开QQ | QQ
打开QQ | QQ
打开QQ | QQ
打开微信 | 微信
打开短信 | 信息
打开京东 | 京东
用QQ音乐播放浮生未歇 | QQ音乐
我要看诛仙青云志 | 乐视视频
用QQ音乐播放浮生未歇 | QQ音乐
帮我淘宝搜索男士钱包 | 手机淘宝
放首歌 | 音乐
打开遥控 | 遥控器
打开QQ音乐 | QQ音乐
听萧敬腾的要怎么说我不爱你 | QQ音乐
查看天气 | 天气
播放音乐 | 音乐
打开QQ | QQ
打开静音 | 闹钟
打开静音 | 闹钟
打开静音 | 闹钟
打开QQ | QQ
打开微信 | 微信
打开静音 | 闹钟
支付宝付款 | 支付宝
微信付款 | 微信
打开导航 | 高德导航
手机百度 | 手机百度
打开遥控 | 遥控器
打开QQ | QQ
微信支付 | 微信
打开遥控 | 遥控器
打开指南针 | 指南针
打开天气 | 天气
帮我打开QQ | QQ
我要听歌 | 音乐
帮我打开酷狗 | 酷狗音乐
打开酷狗音乐 | 酷狗音乐
打开QQ | QQ
打开电视直播 | 乐视体育
我要听追梦赤子心 | 音乐
打开手机淘宝 | 手机淘宝
打开360卫士 | 三六零手机卫士
我想听追梦赤子心 | 音乐
打开QQ | QQ
打开相机 | 相机
放一首歌听 | 音乐
打开微信 | 微信
播放音乐 | 音乐
查看京东购物车 | 京东
打开地图 | 百度地图
支付宝扫一扫 | 支付宝
支付宝扫一扫 | 支付宝
支付宝扫一扫 | 支付宝
支付宝扫一扫 | 支付宝
帮我打开QQ | QQ
微信二维码付款 | 微信
打开相机 | 相机
关闭相机 | 设置
发发短信 | 信息
查看天气 | 天气
打开QQ | QQ
打开乐迷 | 乐迷
打开QQ音乐 | QQ音乐
打开浏览器 | 浏览器
打开导航 | 高德导航
打开地图 | 百度地图
打开宜搜小说 | 宜搜小说
打开天气 | 天气
帮我计时 | 便签
打开秒表 | 闹钟
计时秒表 | 便签
开微信给李续发红包 | 微信
打开微信发给张立祥的红包 | 微信
拍照片 | 相机
用QQ贾松衡合发信息 | QQ
打开QQ | QQ
打开计算器 | 计算器
用QQ发信息 | 信息
用QQ贾松衡恒发信息 | QQ
用QQ给贾中恒发你什么时候到学校 | QQ
查看我的朋友圈 | 微信
查看天气 | 天气
查看天气 | 天气
加了帮我放一首周杰伦的歌 | 音乐
帮我放一首张杰的歌 | 音乐
帮我放张杰的剑心 | 音乐
帮我放一首本兮的歌 | 音乐
王者荣耀 | 王者荣耀
打开QQ | QQ
